,Introduced in House,Reported to House,Passed House,Passed Senate,Public Law,bill,title,Introduced in Senate,House agreed to Senate amendment,Reported to Senate,"Reported to House, Part I",Conference report filed in House,Senate agreed to House amendment
64,,,," <p>This resolution condemns abuses committed by state security forces and armed groups in the northwest and southwest regions of Cameroon, and it affirms that the United States continues to hold Cameroon responsible for safeguarding the security and constitutional rights of all of its citizens, regardless of their region, religion, or political views. Further, it urges all parties to the conflict in Cameroon, the government of Cameroon, U.S. foreign relations entities, and members of the international community to take specified steps toward resolving the ongoing civil conflict in Cameroon.</p>",,684,"A resolution calling on the Government of Cameroon and separatist armed groups from the English-speaking Northwest and Southwest regions to end all violence, respect the human rights of all Cameroonians, and pursue a genuinely inclusive dialogue toward resolving the ongoing civil conflict in Anglophone Cameroon."," <p>This resolution condemns abuses committed by state security forces and armed groups in the northwest and southwest regions of Cameroon, and it affirms that the United States continues to hold Cameroon responsible for safeguarding the security and constitutional rights of all of its citizens, regardless of their region, religion, or political views. Further, it urges all parties to the conflict in Cameroon, the government of Cameroon, U.S. foreign relations entities, and members of the international community to take specified steps toward resolving the ongoing civil conflict in Cameroon.</p>",,,,,
65,,,," <p>This resolution </p> <ul> <li>reaffirms support for elevated collaboration between the United States and the Association of South East Asian Nations (ASEAN), particularly in terms of economic cooperation and human rights; </li> <li>urges ASEAN to foster multilateral relations with non-ASEAN partners; </li> <li>expresses support for ASEAN nations in addressing maritime and territorial disputes, as well as corruption in the public and private sectors; </li> <li>calls on ASEAN nations to ensure human rights, a protected marine environment, and safe access to international waterways in the Asia-Pacific; </li> <li>urges ASEAN nations to uphold international agreements with respect to North Korea's missile programs; and </li> <li>expresses support for the Lower Mekong Initiative, a partnership between the United States, Cambodia, Laos, Burma (Myanmar), Thailand, and Vietnam to promote sustainability and economic development in the region. </li></ul>",,406,"A resolution recognizing that for 50 years, the Association of South East Asian Nations (ASEAN) and its ten members, Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand, and Vietnam, have worked with the United States toward stability, prosperity, and peace in Southeast Asia, and expressing the sense of the Senate that the United States will continue to remain a strong, reliable, and active partner in the ASEAN region."," <p>This resolution </p> <ul> <li>reaffirms support for elevated collaboration between the United States and the Association of South East Asian Nations (ASEAN), particularly in terms of economic cooperation and human rights; </li> <li>urges ASEAN to foster multilateral relations with non-ASEAN partners; </li> <li>expresses support for ASEAN nations in addressing maritime and territorial disputes, as well as corruption in the public and private sectors; </li> <li>calls on ASEAN nations to ensure human rights, a protected marine environment, and safe access to international waterways in the Asia-Pacific; </li> <li>urges ASEAN nations to uphold international agreements with respect to North Korea's missile programs; and </li> <li>expresses support for the Lower Mekong Initiative, a partnership between the United States, Cambodia, Laos, Burma (Myanmar), Thailand, and Vietnam to promote sustainability and economic development in the region. </li></ul>",," <p>This resolution </p> <ul type=""disc""> <li>reaffirms support for elevated collaboration between the United States and the Association of South East Asian Nations (ASEAN), particularly in terms of economic cooperation and human rights; </li> <li>encourages cooperation between the United States and the nations of ASEAN as they respond to COVID-19 (i.e., coronavirus disease 2019) and future public health challenges;</li> <li>urges ASEAN to foster multilateral relations with non-ASEAN partners; </li> <li>expresses support for ASEAN nations in addressing maritime and territorial disputes, as well as corruption in the public and private sectors; </li> <li>calls on ASEAN nations to ensure human rights, a protected marine environment, and safe access to international waterways in the Indo-Pacific; </li> <li>applauds ASEAN nations that have upheld international agreements with respect to North Korea's missile programs; and </li> <li>expresses support for the Lower Mekong Initiative, a partnership between the United States, Cambodia, Laos, Burma (Myanmar), Thailand, and Vietnam to promote sustainability and economic development in the region. </li> </ul> <div> <div> </div> </div>",,,
66,,,,,,82,A joint resolution relating to the disapproval of the proposed export to the Government of the Kingdom of Saudi Arabia of certain defense articles.," <p>This joint resolution prohibits the issuance of an export license with respect to a specified proposed export of certain defense articles, including defense services and technical data, to Saudi Arabia.</p>",,,,,
67,,,,,,3985,"A bill to improve and reform policing practices, accountability, and transparency."," <p><strong>Just and Unifying Solutions To Invigorate Communities Everywhere Act of 2020 or the JUSTICE Act</strong></p> <p>This bill addresses policies and issues regarding policing practices and law enforcement accountability. The bill funds state and local grants, incentivizes state and local reporting on the use of certain policing practices, creates new federal offenses for certain misconduct, establishes a commission to study the conditions affecting Black men and boys, and establishes best practices and training requirements.",,,,,
68,,," <p><b>Federal Advance Contracts Enhancement Act or the FACE Act</b></p> <p>This bill directs the Federal Emergency Management Agency (FEMA) to report to Congress on advance contracts. <i>Advance contracts</i> are established prior to disasters to provide life-sustaining goods and services in the immediate aftermath of a disaster.</p> <p> The report must include (1) information required in the initial report on recurring disaster response requirements; and (2) an updated strategy that defines the objectives of advance contracts, how such contracts contribute to FEMA disaster response operations, how to maximize the award of advance contracts to small business concerns, and whether and how such contracts should be prioritized in relation to new post-disaster contract awards.</p> <p>The bill sets forth additional duties of FEMA with respect to advance contracts, including requiring FEMA to (1) update and implement guidance for its program office and acquisition personnel to identify acquisition planning time frames and considerations across the entire acquisition planning process, and (2) communicate the purpose and use of a master acquisition planning schedule.</p>"," <p><b>Federal Advance Contracts Enhancement Act or the FACE Act</b></p> <p>This bill directs the Federal Emergency Management Agency (FEMA) to report to Congress on advance contracts. <i>Advance contracts</i> are established prior to disasters to provide life-sustaining goods and services in the immediate aftermath of a disaster.</p> <p>The report must include (1) information required in the initial report on recurring disaster response requirements; and (2) an updated strategy that defines the objectives of advance contracts, how such contracts contribute to FEMA disaster response operations, how to maximize the award of advance contracts to small business concerns, and whether and how such contracts should be prioritized in relation to new post-disaster contract awards.</p> <p>The bill sets forth additional duties of FEMA with respect to advance contracts, including requiring FEMA to (1) update and implement guidance for its program office and acquisition personnel to identify acquisition planning time frames and considerations across the entire acquisition planning process, and (2) communicate the purpose and use of a master acquisition planning schedule.</p>"," <p><b>Federal Advance Contracts Enhancement Act or the FACE Act</b></p> <p>This bill directs the Federal Emergency Management Agency (FEMA) to report to Congress on advance contracts. <i>Advance contracts</i> are established prior to disasters to provide life-sustaining goods and services in the immediate aftermath of a disaster.</p> <p> The report must include (1) information required in the initial report on recurring disaster response requirements; and (2) an updated strategy that defines the objectives of advance contracts, how such contracts contribute to FEMA disaster response operations, how to maximize the award of advance contracts to small business concerns, and whether and how such contracts should be prioritized in relation to new post-disaster contract awards.</p> <p>The bill sets forth additional duties of FEMA with respect to advance contracts, including requiring FEMA to (1) update and implement guidance for its program office and acquisition personnel to identify acquisition planning time frames and considerations across the entire acquisition planning process, and (2) communicate the purpose and use of a master acquisition planning schedule.</p>",979,FACE Act," <p><b>Federal Advance Contracts Enhancement Act or the FACE Act</b></p> <p>This bill directs the Federal Emergency Management Agency (FEMA) to report to Congress on advance contracts. Advance contracts are established prior to disasters to provide life-sustaining goods and services in the immediate aftermath of a disaster. The report must include (1) information required in the initial report on recurring disaster response requirements; and (2) an updated strategy that defines the objectives of advance contracts, how such contracts contribute to FEMA disaster response operations, and whether and how such contracts should be prioritized in relation to new post-disaster contract awards.</p> <p>The bill sets forth additional duties of FEMA with respect to advance contracts, including requiring FEMA to (1) update and implement guidance for its program office and acquisition personnel to identify acquisition planning time frames and considerations across the entire acquisition planning process, and (2) communicate the purpose and use of a master acquisition planning schedule.</p>",," <p><b>Federal Advance Contracts Enhancement Act or the FACE Act</b></p> <p>This bill directs the Federal Emergency Management Agency (FEMA) to report to Congress on advance contracts. <i>Advance contracts</i> are established prior to disasters to provide life-sustaining goods and services in the immediate aftermath of a disaster.</p> <p> The report must include (1) information required in the initial report on recurring disaster response requirements; and (2) an updated strategy that defines the objectives of advance contracts, how such contracts contribute to FEMA disaster response operations, how to maximuze the award of advance contracts to small business concerns, and whether and how such contracts should be prioritized in relation to new post-disaster contract awards.</p> <p>The bill sets forth additional duties of FEMA with respect to advance contracts, including requiring FEMA to (1) update and implement guidance for its program office and acquisition personnel to identify acquisition planning time frames and considerations across the entire acquisition planning process, and (2) communicate the purpose and use of a master acquisition planning schedule.</p>",,,
69,,," <p><b>Coordinated Ocean Observations and Research Act of 2020</b></p> <p>This bill reauthorizes through FY2025 and revises the Integrated Coastal and Ocean Observation System (IOOS), which is a network of federal and regional entities that provide information about the nation's coasts, oceans, and Great Lakes, as well as new tools and forecasts to improve safety, enhance the economy, and protect the environment.</p> <p>The bill revises the authority of the National Oceanic and Atmospheric Administration (NOAA) to conduct scientific assessments related to storms, including to (1) direct NOAA to seek public input before the Named Storm Event Model (the official meteorological and oceanographic computerized model which utilizes data to replicate the magnitude, timing, and spatial variations of winds, rainfall, and storm surges associated with named storms for which post-storm assessments are conducted) takes effect, and (2) allow NOAA to deploy sensors to areas in coastal states that are at the highest risk of experiencing geophysical events that would cause indeterminate losses.</p> <p>The bill provides statutory authority for NOAA's National Water Center. (The center currently exists at NOAA as the research and operational center of excellence for hydrologic analyses, forecasting, and related decision support services.)</p> <p>Additionally, the bill directs the National Weather Service (NWS) to make a policy directive for the National Water Center publicly available. The NWS must also (1) initiate and lead all research and development activities to develop operational water resource prediction and related decision support products, (2) collaborate with relevant state and federal agencies regarding total water prediction, and (3) collaboratively develop capabilities necessary for total water predictive capacity.</p> </p>"," <p><b>Coordinated Ocean Observations and Research Act of 2020</b></p> <p>This bill reauthorizes through FY2025 and revises the Integrated Coastal and Ocean Observation System (IOOS), which is a network of federal and regional entities that provide information about the nation's coasts, oceans, and Great Lakes, as well as new tools and forecasts to improve safety, enhance the economy, and protect the environment.</p> <p>The bill revises the authority of the National Oceanic and Atmospheric Administration (NOAA) to conduct scientific assessments related to storms, including to (1) direct NOAA to seek public input before the Named Storm Event Model (the official meteorological and oceanographic computerized model which utilizes data to replicate the magnitude, timing, and spatial variations of winds, rainfall, and storm surges associated with named storms for which post-storm assessments are conducted) takes effect, and (2) allow NOAA to deploy sensors to areas in coastal states that are at the highest risk of experiencing geophysical events that would cause indeterminate losses.</p> <p>The bill provides statutory authority for NOAA's National Water Center. (The center currently exists at NOAA as the research and operational center of excellence for hydrologic analyses, forecasting, and related decision support services.)</p> <p>Additionally, the bill directs the National Weather Service (NWS) to make a policy directive for the National Water Center publicly available. The NWS must also (1) initiate and lead all research and development activities to develop operational water resource prediction and related decision support products, (2) collaborate with relevant state and federal agencies regarding total water prediction, and (3) collaboratively develop capabilities necessary for total water predictive capacity.</p> </p>"," <p><b>Coordinated Ocean Observations and Research Act of 2020</b></p> <p>This bill reauthorizes through FY2025 and revises the Integrated Coastal and Ocean Observation System (IOOS), which is a network of federal and regional entities that provide information about the nation's coasts, oceans, and Great Lakes, as well as new tools and forecasts to improve safety, enhance the economy, and protect the environment.</p> <p>The bill revises the authority of the National Oceanic and Atmospheric Administration (NOAA) to conduct scientific assessments related to storms, including to (1) direct NOAA to seek public input before the Named Storm Event Model (the official meteorological and oceanographic computerized model which utilizes data to replicate the magnitude, timing, and spatial variations of winds, rainfall, and storm surges associated with named storms for which post-storm assessments are conducted) takes effect, and (2) allow NOAA to deploy sensors to areas in coastal states that are at the highest risk of experiencing geophysical events that would cause indeterminate losses.</p> <p>The bill provides statutory authority for NOAA's National Water Center. (The center currently exists at NOAA as the research and operational center of excellence for hydrologic analyses, forecasting, and related decision support services.)</p> <p>Additionally, the bill directs the National Weather Service (NWS) to make a policy directive for the National Water Center publicly available. The NWS must also (1) initiate and lead all research and development activities to develop operational water resource prediction and related decision support products, (2) collaborate with relevant state and federal agencies regarding total water prediction, and (3) collaboratively develop capabilities necessary for total water predictive capacity.</p> </p>",914,Coordinated Ocean Observations and Research Act of 2020," <p><b>Coordinated Ocean Observations and Research Act of 2019</b></p> <p>This bill reauthorizes through FY2024 and revises the Integrated Coastal and Ocean Observation System (IOOS), which is a network of federal and regional entities that provide information about the nation's coasts, oceans, and Great Lakes, as well as new tools and forecasts to improve safety, enhance the economy, and protect the environment.</p>  <p>The bill revises the authority of the National Oceanic and Atmospheric Administration (NOAA) to conduct scientific assessments related to storms, including to (1) direct NOAA to seek public input before the Named Storm Event Model (the official meteorological and oceanographic computerized model which utilizes data to replicate the magnitude, timing, and spatial variations of winds, rainfall, and storm surges associated with named storms for which post-storm assessments are conducted) takes effect, and (2) allow NOAA to deploy sensors to areas in coastal states that are at the highest risk of experiencing geophysical events that would cause indeterminate losses.</p> <p>The bill provides statutory authority for NOAA's National Water Center. (The center currently exists at NOAA as the research and operational center of excellence for hydrologic analyses, forecasting, and related decision support services.)</p> </p>",," <p><b>Coordinated Ocean Observations and Research Act of 2019</b></p> <p>This bill reauthorizes through FY2024 and revises the Integrated Coastal and Ocean Observation System (IOOS), which is a network of federal and regional entities that provide information about the nation's coasts, oceans, and Great Lakes, as well as new tools and forecasts to improve safety, enhance the economy, and protect the environment.</p> <p>The bill revises the authority of the National Oceanic and Atmospheric Administration (NOAA) to conduct scientific assessments related to storms, including to (1) direct NOAA to seek public input before the Named Storm Event Model (the official meteorological and oceanographic computerized model which utilizes data to replicate the magnitude, timing, and spatial variations of winds, rainfall, and storm surges associated with named storms for which post-storm assessments are conducted) takes effect, and (2) allow NOAA to deploy sensors to areas in coastal states that are at the highest risk of experiencing geophysical events that would cause indeterminate losses.</p> <p>The bill provides statutory authority for NOAA's National Water Center. (The center currently exists at NOAA as the research and operational center of excellence for hydrologic analyses, forecasting, and related decision support services.)</p> </p>",,,
70,,," <p><b>HBCU Propelling Agency Relationships Towards a New Era of Results for Students Act or the HBCU PARTNERS Act</b></p> <p>This bill addresses the capacity of historically Black colleges and universities (HBCUs) to participate in federal programs. Specifically, the bill requires certain agencies to submit annual plans for strengthening the capacity of HBCUs to participate in federal programs. Among other things, the plans must establish how the agencies intend to increase the capacity of HBCUs to compete effectively for grants, contracts, or cooperative agreements.</p> <p>The agencies must provide technical assistance and information to the initiative to enhance communication with HBCUs concerning their program activities and initiatives as well as applications for grants, contracts, or cooperative agreements. </p> <p>In addition, the bill provides statutory authority for the President's Board of Advisors on HBCUs.</p>"," <p><b>HBCU Propelling Agency Relationships Towards a New Era of Results for Students Act or the HBCU PARTNERS Act</b></p> <p>This bill addresses the capacity of historically Black colleges and universities (HBCUs) to participate in federal programs. Specifically, the bill requires agencies that regularly interact with HBCUs to submit annual plans for strengthening the capacity of HBCUs to participate in federal programs. Among other things, the plans must establish how the agencies intend to increase the capacity of HBCUs to compete effectively for grants, contracts, or cooperative agreements.</p> <p>The agencies may provide technical assistance and information to the initiative to enhance communication with HBCUs concerning their program activities and applications for grants, contracts, or cooperative agreements. </p> <p>In addition, the bill provides statutory authority for the President's Board of Advisors on HBCUs.</p>"," <p><b>HBCU Propelling Agency Relationships Towards a New Era of Results for Students Act or the HBCU PARTNERS Act</b></p> <p>This bill addresses the capacity of historically Black colleges and universities (HBCUs) to participate in federal programs. Specifically, the bill requires certain agencies to submit annual plans for strengthening the capacity of HBCUs to participate in federal programs. Among other things, the plans must establish how the agencies intend to increase the capacity of HBCUs to compete effectively for grants, contracts, or cooperative agreements.</p> <p>The agencies must provide technical assistance and information to the White House Initiative on HBCUs to enhance communication with HBCUs concerning their program activities and initiatives as well as applications for grants, contracts, or cooperative agreements. </p> <p>In addition, the bill provides statutory authority for the President's Board of Advisors on HBCUs.</p>",461,HBCU PARTNERS Act," <p><b>HBCU Propelling Agency Relationships Towards a New Era of Results for Students Act or the HBCU PARTNERS Act</b></p> <p>This bill addresses the capacity of historically Black colleges and universities (HBCUs) to participate in federal programs. Specifically, the bill requires agencies that regularly interact with HBCUs to submit annual plans for strengthening the capacity of HBCUs to participate in federal programs. Among other things, the plans must establish how the agencies intend to increase the capacity of HBCUs to compete effectively for grants, contracts, or cooperative agreements.</p> <p>The agencies may provide technical assistance and information to the initiative to enhance communication with HBCUs concerning their program activities and applications for grants, contracts, or cooperative agreements. </p> <p>In addition, the bill provides statutory authority for the President's Board of Advisors on HBCUs.</p>",,,,," <p><b>HBCU Propelling Agency Relationships Towards a New Era of Results for Students Act or the HBCU PARTNERS Act</b></p> <p>This bill addresses the capacity of historically Black colleges and universities (HBCUs) to participate in federal programs. Specifically, the bill requires certain agencies to submit annual plans for strengthening the capacity of HBCUs to participate in federal programs. Among other things, the plans must establish how the agencies intend to increase the capacity of HBCUs to compete effectively for grants, contracts, or cooperative agreements.</p> <p>The agencies must provide technical assistance and information to the White House Initiative on HBCUs to enhance communication with HBCUs concerning their program activities and initiatives as well as applications for grants, contracts, or cooperative agreements. </p> <p>In addition, the bill provides statutory authority for the President's Board of Advisors on HBCUs.</p>"
71,,," <p><b>United States Semiquincentennial Commission Amendments Act of 2020</b></p> <p>This bill modifies certain requirements of the U.S. Semiquincentennial Commission, which was established to provide for the commemoration of the 250th anniversary of the founding of the United States and related events.</p> <p>Among other things, the bill</p> <ul> <li>modifies the membership requirements of the commission;</li> <li>changes the date by which the commission shall report to the President with its specific recommendations for the commemoration of the 250th anniversary and related events to March 31, 2020; and</li> <li>grants the commission the exclusive right to use, and to allow others to use, the official marks, imprimaturs, and logos of the commission.</li> </ul>"," <p><b>United States Semiquincentennial Commission Amendments Act of 2020</b></p> <p>This bill modifies certain requirements of the U.S. Semiquincentennial Commission, which was established to provide for the commemoration of the 250th anniversary of the founding of the United States and related events.</p> <p>Among other things, the bill</p> <ul> <li>modifies the membership requirements of the commission;</li> <li>changes the date by which the commission shall report to the President with its specific recommendations for the commemoration of the 250th anniversary and related events to March 31, 2020;</li> <li>grants the commission the sole power to authorize, license, and derive income from the usage of official marks, imprimaturs, products, and logos of the commission and the official semiquincentennial activities sponsored or cosponsored by the commission; and </li> <li>establishes penalties for knowingly manufacturing, reproducing, or using any log, symbol, or mark originated under the authority of, and certified by, the commission for use in connection with the commemoration of the semiquincentennial.</li> </ul>"," <p><b>United States Semiquincentennial Commission Amendments Act of 2020</b></p> <p>This bill modifies certain requirements of the U.S. Semiquincentennial Commission, which was established to provide for the commemoration of the 250th anniversary of the founding of the United States and related events.</p> <p>Among other things, the bill</p> <ul> <li>modifies the membership requirements of the commission;</li> <li>changes the date by which the commission shall report to the President with its specific recommendations for the commemoration of the 250th anniversary and related events to March 31, 2020; and</li> <li>grants the commission the exclusive right to use, and to allow others to use, the official marks, imprimaturs, and logos of the commission.</li> </ul>",3989,United States Semiquincentennial Commission Amendments Act of 2020," <p><b>United States Semiquincentennial Commission Amendments Act of 2020</b></p> <p>This bill modifies certain requirements of the U.S. Semiquincentennial Commission, which was established to provide for the commemoration of the 250th anniversary of the founding of the United States and related events.</p> <p>Among other things, the bill</p> <ul> <li>modifies the membership requirements of the commission;</li> <li>changes the date by which the commission shall report to the President with its specific recommendations for the commemoration of the 250th anniversary and related events to March 31, 2020;</li> <li>grants the commission the sole power to authorize, license, and derive income from the usage of official marks, imprimaturs, products, and logos of the commission and the official semiquincentennial activities sponsored or cosponsored by the commission; and </li> <li>establishes penalties for knowingly manufacturing, reproducing, or using any log, symbol, or mark originated under the authority of, and certified by, the commission for use in connection with the commemoration of the semiquincentennial.</li> </ul>",,,,," <p><b>United States Semiquincentennial Commission Amendments Act of 2020</b></p> <p>This bill modifies certain requirements of the U.S. Semiquincentennial Commission, which was established to provide for the commemoration of the 250th anniversary of the founding of the United States and related events.</p> <p>Among other things, the bill</p> <ul> <li>modifies the membership requirements of the commission;</li> <li>changes the date by which the commission shall report to the President with its specific recommendations for the commemoration of the 250th anniversary and related events to March 31, 2020; and</li> <li>grants the commission the exclusive right to use, and to allow others to use, the official marks, imprimaturs, and logos of the commission.</li> </ul>"
72,,," <p><b>Crisis Stabilization and Community Reentry Act of 2020</b></p> <p>This bill authorizes the Department of Justice to award grants for states, Native American tribes, local governments, and community-based nonprofit organizations to provide clinical services for people with serious mental illness and substance use disorders who need mental health services upon release from a correctional facility. </p>", <p><b>Crisis Stabilization and Community Reentry Act of 2020</b></p> <p>This bill authorizes the Department of Justice to award grants for state and local correctional facilities to provide clinical services for people with serious mental illness and substance use disorders who need post-release mental health services.</p>," <p><b>Crisis Stabilization and Community Reentry Act of 2020</b></p> <p>This bill authorizes the Department of Justice to award grants for states, Native American tribes, local governments, and community-based nonprofit organizations to provide clinical services for people with serious mental illness and substance use disorders who need mental health services upon release from a correctional facility.</p>",3312,Crisis Stabilization and Community Reentry Act of 2020, <p><b>Crisis Stabilization and Community Reentry Act of 2020</b></p> <p>This bill authorizes the Department of Justice to award grants for state and local correctional facilities to provide clinical services for people with serious mental illness who need post-release mental health services.</p>,,,,,
73,,," <p><b>Drone Advisory Committee for the 21st Century Act </b></p> <p>This bill requires the Federal Aviation Administration (FAA) to take appropriate steps to encourage direct representation of county and tribal governments, as well as agriculture, forestry, rangeland sectors, and other rural interests on the Drone Advisory Committee.</p> <p>The FAA must include public participation in the process of nominating individuals for membership on the committee.</p>"," <p><b>Drone Advisory Committee for the 21st Century Act </b></p> <p>This bill requires the Federal Aviation Administration (FAA) to take appropriate steps to encourage direct representation of county and tribal governments, as well as agriculture, forestry, rangeland sectors, and other rural interests on the Drone Advisory Committee.</p> <p>The FAA must include public participation in the process of nominating individuals for membership on the committee.</p>"," <p><b>Drone Advisory Committee for the 21st Century Act </b></p> <p>This bill requires the Federal Aviation Administration (FAA) to take appropriate steps to encourage direct representation of county and tribal governments, as well as agriculture, forestry, rangeland sectors, and other rural interests on the Drone Advisory Committee.</p> <p>The FAA must include public participation in the process of nominating individuals for membership on the committee.</p>",2730,Drone Advisory Committee for the 21st Century Act, <p><b>Drone Advisory Committee for the 21st Century Act</b></p> <p>This bill establishes a Drone Advisory Committee to provide independent advice and recommendations to the Federal Aviation Administration regarding issues involving the efficiency and safety of integrating unmanned aircraft systems into the National Airspace System.</p>,," <p><b>Drone Advisory Committee for the 21st Century Act </b></p> <p>This bill requires the Federal Aviation Administration (FAA) to take appropriate steps to encourage direct representation of county and tribal governments, as well as agriculture, forestry, rangeland sectors, and other rural interests on the Drone Advisory Committee.</p> <p>The FAA must include public participation in the process of nominating individuals for membership on the committee.</p>",,,
74,,," <p><b>Child Care Protection Improvement Act of 2020</b><br /><br />This bill establishes an interagency task force, chaired by the Administration for Children and Families, to support states in conducting required criminal background checks for childcare staff members. Specifically, the task force must consult with relevant state agencies and develop recommendations and best practices. This includes evaluating how agencies are responding to interstate requests for information about staff, or prospective staff, who have lived in another state within the preceding five years. The task force must submit a final report with its recommendations within one year of the first meeting of the task force.</p>"," <p><b>Child Care Protection Improvement Act of 2020</b><br /><br />This bill establishes an interagency task force, chaired by the Administration for Children and Families, to support states in conducting required criminal background checks for childcare staff members. Specifically, the task force must consult with relevant state agencies and develop recommendations and best practices. This includes evaluating how agencies are responding to interstate requests for information about staff, or prospective staff, who have lived in another state within the preceding five years. The task force must submit a final report with its recommendations within one year of the first meeting of the task force.</p>"," <p><b>Child Care Protection Improvement Act of 2020</b><br /><br />This bill establishes an interagency task force, chaired by the Administration for Children and Families, to support states in conducting required criminal background checks for childcare staff members. Specifically, the task force must consult with relevant state agencies and develop recommendations and best practices. This includes evaluating how agencies are responding to interstate requests for information about staff, or prospective staff, who have lived in another state within the preceding five years. The task force must submit a final report with its recommendations within one year of the first meeting of the task force.</p>",2683,Child Care Protection Improvement Act of 2020," <p><b>Child Care Protection Improvement Act of 2019</b><br /><br />This bill establishes an interagency task force, chaired by the Administration for Children and Families, to support states in conducting required criminal background checks for childcare staff members. Specifically, the task force must consult with relevant state agencies and develop recommendations and best practices. This includes evaluating how agencies are responding to interstate requests for information about staff, or prospective staff, who have lived in another state within the preceding five years. The task force must submit a final report with its recommendations within one year of the first meeting of the task force.</p>",," <p><b>Child Care Protection Improvement Act of 2019</b><br /><br />This bill establishes an interagency task force, chaired by the Administration for Children and Families, to support states in conducting required criminal background checks for childcare staff members. Specifically, the task force must consult with relevant state agencies and develop recommendations and best practices. This includes evaluating how agencies are responding to interstate requests for information about staff, or prospective staff, who have lived in another state within the preceding five years. The task force must submit a final report with its recommendations within one year of the first meeting of the task force.</p>",,," <p><b>Child Care Protection Improvement Act of 2020</b><br /><br />This bill establishes an interagency task force, chaired by the Administration for Children and Families, to support states in conducting required criminal background checks for childcare staff members. Specifically, the task force must consult with relevant state agencies and develop recommendations and best practices. This includes evaluating how agencies are responding to interstate requests for information about staff, or prospective staff, who have lived in another state within the preceding five years. The task force must submit a final report with its recommendations within one year of the first meeting of the task force.</p>"
75,,,," <p><b>Transparency and Effective Accountability Measures for Veteran Caregivers Act or the TEAM Veteran Caregivers Act</b></p> <p>The bill revises the administration of Department of Veterans Affairs (VA) caregiver programs. Specifically, the bill requires the VA to report on the feasibility and advisability of formally recognizing caregivers of veterans by identifying them in the veteran's electronic health record. Such caregivers covered by the bill include those approved as a provider of personal care services under the Program of Comprehensive Assistance for Family Caregivers and those participating in the Program of General Caregiver Support Services. If the VA determines that formally recognizing caregivers is feasible and advisable, it must implement recognition.</p> <p>The bill requires the VA to use standardized letters to notify veterans, their caregivers, and applicants for the program regarding decisions affecting the furnishing of assistance under the Program of Comprehensive Assistance for Family Caregivers. Such notifications must contain specified details regarding the decision.</p> <p>The bill also authorizes the VA to extend benefits for a 90-day period under the Program of Comprehensive Assistance for Family Caregivers, including the monthly personal caregiver stipend, after determining that a veteran is no longer eligible for the program solely because of improvement in their condition. The effective date of discharge from the program shall not be earlier than 60 days after the date on which the VA provides notice of the lack of eligibility.</p>"," <p><b>Transparency and Effective Accountability Measures for Veteran Caregivers Act or the TEAM Veteran Caregivers Act</b></p> <p>The bill revises the administration of Department of Veterans Affairs (VA) caregiver programs. Specifically, the bill requires the VA to report on the feasibility and advisability of formally recognizing caregivers of veterans by identifying them in the veteran's electronic health record. Such caregivers covered by the bill include those approved as a provider of personal care services under the Program of Comprehensive Assistance for Family Caregivers and those participating in the Program of General Caregiver Support Services. If the VA determines that formally recognizing caregivers is feasible and advisable, it must implement recognition.</p> <p>The bill requires the VA to use standardized letters to notify veterans, their caregivers, and applicants for the program regarding decisions affecting the furnishing of assistance under the Program of Comprehensive Assistance for Family Caregivers. Such notifications must contain specified details regarding the decision.</p> <p>The bill also authorizes the VA to extend benefits for a 90-day period under the Program of Comprehensive Assistance for Family Caregivers, including the monthly personal caregiver stipend, after determining that a veteran is no longer eligible for the program solely because of improvement in their condition. The effective date of discharge from the program shall not be earlier than 60 days after the date on which the VA provides notice of the lack of eligibility.</p>",2216,TEAM Veteran Caregivers Act," <p><b>Transparency and Effective Accountability Measures for Veteran Caregivers Act or the TEAM Veteran Caregivers Act</b></p> <p>The bill revises the administration of Department of Veterans Affairs (VA) caregiver programs. Specifically, the bill requires the VA to formally recognize caregivers of veterans by identifying any caregiver in the health record of the veteran. Such caregivers covered by the bill include those participating in the Program of Comprehensive Assistance for Family Caregivers and those participating in the Program of General Caregiver Support Services.</p> <p>The bill requires the VA to notify veterans and their caregivers regarding any clinical determinations made relating to claims under, or eligibility for, the specified caregiver programs. The notifications must be standardized and contain specified details regarding the decisions.</p> <p>The bill also requires the VA to temporarily extend benefits under the Program of Comprehensive Assistance for Family Caregivers for at least 90 days after the receipt of notice that a veteran is no longer clinically eligible for the program. Such an extension shall not apply to the termination of caregiver benefits (1) for cause, (2) because the veteran died, or (3) upon request of the caregiver or veteran. </p>",," <p><b>Transparency and Effective Accountability Measures for Veteran Caregivers Act or the TEAM Veteran Caregivers Act</b></p> <p>The bill revises the administration of Department of Veterans Affairs (VA) caregiver programs. Specifically, the bill requires the VA to formally recognize caregivers of veterans by identifying any caregiver in the electronic health record of the veteran. Such caregivers covered by the bill include those approved as a provider of personal care services under the Program of Comprehensive Assistance for Family Caregivers and those participating in the Program of General Caregiver Support Services.</p> <p>The bill requires the VA to use standardized letters to notify veterans, their caregivers, and applicants for the program regarding decisions affecting the furnishing of assistance under the Program of Comprehensive Assistance for Family Caregivers.</p> <p>The bill also authorizes the VA to temporarily extend benefits under the Program of Comprehensive Assistance for Family Caregivers, including the monthly personal caregiver stipend, after determining that a veteran is no longer clinically eligible for the program.</p>",,,
